failure
Connexion endommagee
Erreur connexion
Joint dechire
Erreur de section de fils
Sertissage sur isolant
Erreur cosse
Exces de collle sur cosse
Manque etammage
Ergot de connexion manquant
Manchon mal positionnes
Manchon dechires
Erreur configuration
Erreur Manchon
Brains echapes
Bavure sur le srtissage
Contact manquant
Fil inverse
Fil coupe / casse
Connecteur non verrouille
Bouchon du connecteur dechire
Erreur de composant
Manque laniere de connecteur
Tube ecrase
Fil manquant
Erreur Gaine/Gaffe
Fil en plus
Manque relais
Manque Clip
Clip endommage
Mauvaise position de l'element
enrubannage non-conforme
BFRM endommage
Connecteur endommage
Gaine mal coupe/fissure
Branche trop courte
Branche trop longue
Fusible deforme
Fusible en mauvaise position
PIN deforme
Relais deforme
Relais en mauvaise position
Capot de connecteur casse
Noeud mal realise
Bavures / Fissures sur la surface
Corps etranger dans l'injection
Fils/gaine n'est pas au milieu de l'injection
Bulles d'air sur l'injection
Manque matiere / Non moule completement
Exces matiere sur la piece
Mauvaise matiere (granules)
Faute d'injection sur le passe-cable
Dechets sur la surface
Point d'injection trop long / mal arase
Piece surmoule non etanche
BFRM CASSE
BFRM ABIME
BOITIER CASSE
BOITIER ABIME
MANQUE MASSE
